Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,32.500000,33.860001,32.439999,33.560001,33.560001,193614
2019-04-02,33.560001,33.880001,33.099998,33.880001,33.880001,176150
2019-04-03,34.000000,34.400002,32.700001,33.779999,33.779999,748191
2019-04-04,34.740002,35.720001,34.000000,35.000000,35.000000,551431
2019-04-05,35.000000,35.240002,34.099998,34.099998,34.099998,130903
2019-04-08,34.000000,34.000000,33.099998,33.400002,33.400002,150780
2019-04-09,33.400002,33.660000,32.820000,32.820000,32.820000,160462
2019-04-10,32.820000,33.599998,32.160000,33.540001,33.540001,223928
2019-04-11,33.700001,34.500000,33.599998,33.700001,33.700001,184198
2019-04-12,33.700001,34.599998,33.439999,34.500000,34.500000,193064
2019-04-15,34.500000,34.740002,33.720001,33.880001,33.880001,139424
2019-04-16,34.000000,34.380001,33.560001,34.160000,34.160000,86754
2019-04-17,34.200001,34.779999,33.860001,33.980000,33.980000,107149
2019-04-18,34.000000,34.080002,33.160000,33.599998,33.599998,134215
2019-04-23,33.500000,33.580002,33.000000,33.299999,33.299999,136136
2019-04-24,33.380001,34.000000,33.299999,33.959999,33.959999,103810
2019-04-25,34.000000,34.619999,33.540001,34.080002,34.080002,208671
2019-04-26,34.080002,37.220001,34.080002,36.000000,36.000000,911697
2019-04-29,36.380001,36.980000,34.279999,34.919998,34.919998,337981
2019-04-30,34.900002,35.360001,34.580002,35.020000,35.020000,60951
2019-05-02,34.500000,34.900002,34.000000,34.619999,34.619999,113285
2019-05-03,34.500000,34.619999,34.060001,34.279999,34.279999,154617
2019-05-06,34.180000,34.180000,33.139999,33.220001,33.220001,178072
2019-05-07,33.220001,33.759998,32.720001,32.840000,32.840000,139310
2019-05-08,32.779999,34.240002,32.779999,33.580002,33.580002,155344
2019-05-09,33.580002,33.580002,32.299999,32.560001,32.560001,125477
2019-05-10,32.560001,33.500000,32.560001,33.439999,33.439999,127021
2019-05-13,33.500000,33.500000,32.560001,32.759998,32.759998,153889
2019-05-14,32.680000,33.759998,32.660000,33.680000,33.680000,99552
2019-05-15,34.000000,34.279999,32.880001,33.160000,33.160000,100986
2019-05-16,33.240002,35.200001,33.099998,34.880001,34.880001,499398
2019-05-17,34.520000,35.419998,34.299999,35.119999,35.119999,107506
2019-05-20,35.200001,35.480000,33.900002,34.400002,34.400002,263533
2019-05-21,34.139999,36.320000,34.139999,35.560001,35.560001,890203
2019-05-22,35.540001,36.340000,35.160000,36.000000,36.000000,840757
2019-05-23,36.000000,36.320000,35.439999,36.000000,36.000000,185172
2019-05-24,35.840000,38.240002,35.840000,37.860001,37.860001,503799
2019-05-27,38.080002,39.459999,37.419998,38.860001,38.860001,460216
2019-05-28,39.000000,41.720001,38.759998,41.439999,41.439999,1016323
2019-05-29,41.439999,41.439999,39.099998,39.700001,39.700001,348850
2019-05-31,39.700001,39.700001,36.060001,38.480000,38.480000,577219
2019-06-03,38.480000,39.700001,37.419998,39.279999,39.279999,238085
2019-06-04,39.160000,40.720001,38.380001,40.200001,40.200001,280295
2019-06-05,40.299999,40.599998,39.680000,40.020000,40.020000,254859
2019-06-07,40.480000,41.060001,39.200001,40.680000,40.680000,445358
2019-06-11,45.660000,46.380001,43.459999,43.840000,43.840000,772039
2019-06-12,44.000000,44.160000,43.020000,44.000000,44.000000,344638
2019-06-13,44.500000,45.220001,42.639999,42.680000,42.680000,377202
2019-06-14,42.680000,43.639999,42.500000,42.880001,42.880001,222991
2019-06-18,44.220001,44.980000,42.880001,44.619999,44.619999,302435
2019-06-19,44.700001,45.500000,43.880001,44.400002,44.400002,293500
2019-06-20,44.400002,45.500000,44.360001,44.480000,44.480000,637013
2019-06-24,44.759998,45.180000,43.180000,43.180000,43.180000,226087
2019-06-25,43.139999,44.000000,41.680000,41.799999,41.799999,394593
2019-06-26,41.599998,42.200001,41.200001,41.439999,41.439999,242818
2019-06-27,41.840000,43.619999,41.639999,43.340000,43.340000,368745
2019-06-28,44.380001,44.380001,41.240002,41.299999,41.299999,469438
2019-07-01,42.000000,42.580002,41.080002,41.840000,41.840000,399991
2019-07-02,41.900002,42.240002,41.400002,41.400002,41.400002,261837
2019-07-03,41.200001,42.259998,41.060001,42.180000,42.180000,316223
